Survived,Sex_Binary,Fare_Log,Family_Size,Is_Alone,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,Title_grouped,Title_Mr,Title_Mrs,Title_Rare
1,1,2.855895328366192,1,1,False,False,True,False,True,False,Rare,False,False,True
1,1,1.803358605071407,1,1,False,False,True,False,False,True,Mrs,False,True,False
0,0,3.797285327957723,3,0,True,False,False,False,False,True,Mr,True,False,False
1,1,0.9477893989335261,1,1,True,False,False,False,False,True,Rare,False,False,True
0,0,3.6501386257975055,1,1,False,False,True,True,False,False,Mr,True,False,False
0,0,4.121635422458004,1,1,False,False,True,True,False,False,Mr,True,False,False
1,1,4.997887721273753,2,0,False,False,True,True,False,False,Rare,False,False,True
0,0,2.4344901638739844,3,0,True,False,False,False,False,True,Mr,True,False,False
0,0,3.6270040503958487,1,1,False,False,True,False,False,True,Mr,True,False,False
0,0,2.6004649904222727,3,0,False,False,True,False,False,True,Mr,True,False,False
0,0,0.0,2,0,False,False,True,True,False,False,Mr,True,False,False
0,0,0.0,2,0,False,False,True,False,False,True,Mr,True,False,False
0,0,3.1730412885244013,1,1,True,False,False,False,False,True,Mr,True,False,False
1,0,5.009768251656904,2,0,False,False,True,True,False,False,Mr,True,False,False
1,1,4.618481200047763,1,1,False,False,True,True,False,False,Mrs,False,True,False
1,1,2.105352923464337,1,1,False,False,True,True,False,False,Rare,False,False,True
0,0,2.6741486494265287,1,1,False,False,True,False,True,False,Mr,True,False,False
0,0,2.6004649904222727,2,0,False,False,True,False,False,True,Mr,True,False,False
0,0,3.7443141610020367,3,0,False,False,True,False,True,False,Mr,True,False,False
0,0,2.924236271848921,2,0,False,True,False,False,True,False,Mr,True,False,False
0,0,1.6034198401085376,1,1,False,False,True,False,False,True,Mr,True,False,False
0,0,4.439115601658009,1,1,False,False,True,True,False,False,Mr,True,False,False
0,0,3.5635996376871786,2,0,True,False,False,False,True,False,Mr,True,False,False
0,0,3.8390221125436557,3,0,False,False,True,False,True,False,Mr,True,False,False
0,0,3.269949095052201,1,1,False,True,False,False,False,True,Mr,True,False,False
0,0,3.332918540908861,1,1,True,False,False,False,False,True,Mr,True,False,False
1,1,4.848665233550198,2,0,False,False,True,True,False,False,Rare,False,False,True
1,1,3.261168737058452,5,0,False,False,True,False,False,True,Rare,False,False,True
0,0,2.8864752876170416,1,1,False,False,True,False,False,True,Mr,True,False,False
1,1,4.578107266438402,4,0,False,False,True,True,False,False,Mrs,False,True,False
0,0,3.176803048446293,4,0,True,False,False,False,False,True,Mr,True,False,False
1,1,5.224240163151721,2,0,False,False,True,True,False,False,Mrs,False,True,False
1,1,4.769836807543325,3,0,False,False,True,True,False,False,Rare,False,False,True
0,0,0.0,1,1,False,False,True,False,False,True,Mr,True,False,False
0,0,2.1198634561787513,2,0,False,False,True,False,False,True,Mr,True,False,False
0,0,2.534490149976828,3,0,False,False,True,False,False,True,Mr,True,False,False
0,0,3.8726582819058692,1,1,True,False,False,False,True,False,Mr,True,False,False
0,0,5.232764998307801,1,1,False,False,True,True,False,False,Mr,True,False,False
0,0,2.6195832197798796,1,1,False,False,True,False,False,True,Mr,True,False,False
0,0,2.9616582932202395,3,0,False,False,True,False,True,False,Mr,True,False,False
1,1,4.06182137051654,1,1,True,False,False,True,False,False,Mrs,False,True,False
1,1,3.104586678466073,2,0,False,False,True,False,False,True,Mrs,False,True,False
0,0,4.931159092594459,3,0,True,False,False,True,False,False,Mr,True,False,False
0,0,2.6361960973342264,1,1,False,False,True,False,False,True,Mr,True,False,False
0,0,3.3297013799570854,3,0,False,True,False,False,True,False,Mr,True,False,False
0,0,1.900613874140137,3,0,False,False,True,False,False,True,Mr,True,False,False
1,1,1.1085626195212777,2,0,False,False,True,False,True,False,Mrs,False,True,False
0,0,3.131136910560194,2,0,False,False,True,False,False,True,Mr,True,False,False
0,0,2.727199019940971,4,0,False,False,True,False,False,True,Mr,True,False,False
0,0,4.108411819433536,1,1,False,False,True,True,False,False,Mr,True,False,False
0,0,3.164630810015805,2,0,False,False,True,False,False,True,Mr,True,False,False
0,1,0.0,2,0,False,False,True,False,False,True,Rare,False,False,True
1,1,2.869601996409779,3,0,False,False,True,False,False,True,Rare,False,False,True
0,0,1.6193882432872684,5,0,False,True,False,False,False,True,Rare,False,False,True
0,0,2.300583090323373,1,1,False,False,True,False,False,True,Mr,True,False,False
0,0,2.972975286431375,1,1,True,False,False,False,False,True,Mr,True,False,False
1,1,2.7593768282675506,2,0,False,False,True,True,False,False,Mrs,False,True,False
1,1,4.978112102390695,1,1,False,False,True,True,False,False,Rare,False,False,True
0,0,4.725527682651825,2,0,False,False,True,True,False,False,Mr,True,False,False
0,0,3.3163654461454577,1,1,False,False,True,False,True,False,Mr,True,False,False
1,1,3.3721118007670587,1,1,False,True,False,False,True,False,Mrs,False,True,False
0,0,1.5871923034867808,4,0,False,False,True,False,True,False,Rare,False,False,True
