transaction_id,customer_id,transaction_date,category,product,quantity,unit_price,discount_pct,payment_method,delivery_days,rating,returned,device,discount_amount,total_amount
TXN003608,CUST00172,2026-02-27,Clothing,Shoes,1,1153.54,0,Credit Card,4.0,4.0,0,Mobile,0.0,1153.54
TXN014045,CUST00743,2026-03-19,Electronics,Headphones,1,18887.05,0,Debit Card,3.0,5.0,0,Mobile,0.0,18887.05
TXN006059,CUST00166,2026-05-21,Clothing,Shoes,1,3264.64,0,Wallet,2.0,5.0,0,Mobile,0.0,3264.64
TXN009964,CUST01818,2026-03-04,Clothing,Jacket,3,4889.32,0,UPI,4.0,4.0,0,Desktop,0.0,14667.96
TXN010024,CUST00377,2026-01-16,Clothing,T-Shirt,1,3282.91,0,Debit Card,3.0,3.0,0,Mobile,0.0,3282.91
TXN002899,CUST00887,2026-05-03,Electronics,Laptop,1,30015.89,0,UPI,1.0,4.0,0,Mobile,0.0,30015.89
TXN013857,CUST01252,2026-01-28,Electronics,Smartphone,1,64377.24,20,Credit Card,2.0,5.0,0,Tablet,12875.45,51501.79
TXN011588,CUST01503,2026-03-10,Clothing,Dress,2,4625.61,0,Wallet,2.0,4.0,0,Tablet,0.0,9251.22
TXN006540,CUST00165,2026-01-08,Electronics,Headphones,1,9206.48,0,UPI,1.0,4.0,0,Mobile,0.0,9206.48
TXN002968,CUST00248,2026-06-21,Electronics,Tablet,1,59239.19,0,UPI,3.0,5.0,0,Desktop,0.0,59239.19
TXN012564,CUST00995,2026-06-12,Home,Appliance,1,5525.0,0,Debit Card,4.0,4.0,0,Mobile,0.0,5525.0
TXN001552,CUST01690,2026-02-06,Electronics,Smartphone,1,26690.07,5,Debit Card,1.0,5.0,0,Mobile,1334.5,25355.57
TXN000491,CUST00169,2026-06-04,Home,Appliance,1,19255.8,5,Wallet,2.0,5.0,0,Desktop,962.79,18293.01
TXN006137,CUST01669,2026-06-08,Electronics,Tablet,1,55709.22,0,Debit Card,2.0,4.0,0,Mobile,0.0,55709.22
TXN007890,CUST00559,2026-02-27,Electronics,Headphones,1,27414.95,0,Debit Card,2.0,4.0,0,Mobile,0.0,27414.95
TXN011542,CUST00842,2026-03-11,Electronics,Smartphone,1,56178.83,0,Debit Card,2.0,5.0,0,Mobile,0.0,56178.83
TXN012676,CUST01978,2026-01-18,Electronics,Laptop,1,46842.58,0,Wallet,2.0,4.0,0,Mobile,0.0,46842.58
TXN002150,CUST01366,2026-04-12,Home,Appliance,1,17009.26,0,Debit Card,2.0,4.0,0,Mobile,0.0,17009.26
TXN013016,CUST01295,2026-04-27,Electronics,Smartwatch,1,31007.74,0,Wallet,7.0,3.0,0,Mobile,0.0,31007.74
TXN000168,CUST00066,2026-06-16,Clothing,Dress,1,1272.69,0,Debit Card,2.0,5.0,0,Tablet,0.0,1272.69
TXN008194,CUST01340,2026-01-15,Home,Kitchenware,1,4073.51,0,Wallet,3.0,4.0,0,Mobile,0.0,4073.51
TXN008664,CUST00722,2026-06-10,Clothing,Jacket,2,2454.7,0,UPI,4.0,5.0,0,Mobile,0.0,4909.4
TXN013438,CUST00386,2026-01-04,Home,Decor,1,21621.55,0,Credit Card,2.0,4.0,0,Tablet,0.0,21621.55
TXN009583,CUST00504,2026-04-08,Electronics,Smartphone,1,7245.4,0,Debit Card,4.0,1.0,0,Mobile,0.0,7245.4
TXN003120,CUST00760,2026-04-29,Clothing,Jacket,2,3490.33,0,Wallet,3.0,4.0,0,Tablet,0.0,6980.66
TXN006247,CUST01964,2026-03-09,Electronics,Smartphone,1,33331.7,0,Credit Card,2.0,5.0,0,Desktop,0.0,33331.7
TXN006458,CUST01989,2026-06-19,Electronics,Tablet,1,5324.33,5,UPI,7.0,4.0,0,Mobile,266.22,5058.11
TXN007099,CUST01338,2026-03-06,Clothing,Jeans,2,1786.62,0,UPI,1.0,5.0,0,Mobile,0.0,3573.24
TXN012978,CUST01535,2026-06-24,Electronics,Tablet,1,34131.44,0,UPI,3.0,4.0,0,Mobile,0.0,34131.44
TXN002945,CUST01970,2026-02-01,Electronics,Tablet,1,33381.2,5,Debit Card,5.0,5.0,0,Mobile,1669.06,31712.14
TXN013396,CUST00201,2026-04-17,Home,Kitchenware,1,4264.99,0,Debit Card,4.0,5.0,0,Mobile,0.0,4264.99
TXN000676,CUST01850,2026-05-05,Home,Kitchenware,1,3692.51,0,Debit Card,4.0,5.0,0,Mobile,0.0,3692.51
TXN013349,CUST00156,2026-04-23,Home,Furniture,2,26085.07,5,Debit Card,5.0,5.0,0,Tablet,2608.51,49561.63
TXN008455,CUST00906,2026-04-11,Clothing,T-Shirt,1,4177.21,0,Credit Card,4.0,3.0,0,Desktop,0.0,4177.21
TXN010573,CUST01747,2026-02-22,Electronics,Laptop,1,23438.99,0,UPI,5.0,5.0,0,Desktop,0.0,23438.99
TXN005490,CUST00597,2026-02-12,Electronics,Headphones,1,19840.18,0,UPI,3.0,5.0,0,Desktop,0.0,19840.18
TXN006413,CUST00443,2026-01-21,Clothing,Jeans,1,2857.34,5,Wallet,4.0,5.0,0,Tablet,142.87,2714.47
TXN004561,CUST00500,2026-06-23,Home,Furniture,1,25237.21,0,UPI,4.0,1.0,0,Desktop,0.0,25237.21
TXN005067,CUST01902,2026-05-18,Clothing,Jeans,1,6800.56,5,Wallet,1.0,5.0,0,Mobile,340.03,6460.53
TXN010768,CUST00377,2026-03-19,Electronics,Smartwatch,1,19432.89,0,Wallet,3.0,4.0,0,Mobile,0.0,19432.89
TXN000830,CUST00158,2026-01-19,Home,Furniture,1,13051.23,0,UPI,3.0,2.0,0,Desktop,0.0,13051.23
TXN003643,CUST00302,2026-06-08,Electronics,Headphones,1,13500.74,0,Wallet,3.0,5.0,0,Desktop,0.0,13500.74
TXN009684,CUST01978,2026-01-07,Electronics,Laptop,1,17649.22,0,UPI,3.0,5.0,0,Mobile,0.0,17649.22
TXN009796,CUST00681,2026-03-13,Clothing,Shoes,3,3255.71,0,Credit Card,2.0,5.0,0,Mobile,0.0,9767.13
TXN013383,CUST01740,2026-05-31,Clothing,Shoes,1,3995.21,0,UPI,3.0,2.0,0,Mobile,0.0,3995.21
TXN007853,CUST01587,2026-03-20,Electronics,Headphones,1,58634.47,5,Debit Card,3.0,3.0,0,Mobile,2931.72,55702.75
TXN013983,CUST00840,2026-03-17,Clothing,Jeans,1,3975.96,5,Wallet,2.0,4.0,0,Desktop,198.8,3777.16
TXN000290,CUST00368,2026-04-14,Home,Furniture,1,9572.47,0,UPI,2.0,5.0,0,Mobile,0.0,9572.47
TXN003819,CUST01581,2026-05-30,Electronics,Smartphone,1,11622.29,5,Wallet,4.0,5.0,0,Mobile,581.11,11041.18
TXN002142,CUST01684,2026-01-30,Home,Kitchenware,2,29481.31,0,Credit Card,3.0,5.0,0,Mobile,0.0,58962.62
TXN004340,CUST01590,2026-02-17,Clothing,Jeans,2,3710.57,0,Debit Card,2.0,5.0,0,Tablet,0.0,7421.14
